date,event,amount,ticker,strategy,drawdown
2025-03-31,tranche,100000.0,,immediate,
2025-04-30,sell_winner,707.31,NVDA,immediate,
2025-04-30,sell_winner,969.53,LMT,immediate,
2025-04-30,sell_winner,736.44,MSFT,immediate,
2025-04-30,sell_winner,340.2,ITA,immediate,
2025-04-30,sell_winner,256.41,QQQ,immediate,
2025-04-30,rebalance_buy,3009.89,,immediate,
2025-06-30,sell_winner,7300.73,NVDA,immediate,
2025-06-30,sell_winner,855.23,MSFT,immediate,
2025-06-30,sell_winner,1442.74,SMH,immediate,
2025-06-30,sell_winner,221.12,ITA,immediate,
2025-06-30,rebalance_buy,9819.82,,immediate,
2025-07-31,sell_winner,5156.9,NVDA,immediate,
2025-07-31,sell_winner,1276.15,MSFT,immediate,
2025-07-31,sell_winner,673.55,SMH,immediate,
2025-07-31,sell_winner,660.03,ITA,immediate,
2025-07-31,sell_winner,399.66,QQQ,immediate,
2025-07-31,rebalance_buy,8166.29,,immediate,
2025-09-30,sell_winner,2094.9,NVDA,immediate,
2025-09-30,sell_winner,1528.72,SMH,immediate,
2025-09-30,sell_winner,729.38,ITA,immediate,
2025-09-30,sell_winner,698.54,QQQ,immediate,
2025-09-30,rebalance_buy,5051.55,,immediate,
2025-10-31,sell_winner,3060.27,NVDA,immediate,
2025-10-31,sell_winner,1256.09,SMH,immediate,
2025-10-31,sell_winner,319.88,ITA,immediate,
2025-10-31,sell_winner,473.5,QQQ,immediate,
2025-10-31,rebalance_buy,5109.75,,immediate,
2025-12-31,sell_winner,422.13,XOM,immediate,
2025-12-31,sell_winner,569.0,SMH,immediate,
2025-12-31,sell_winner,534.42,ITA,immediate,
2025-12-31,sell_winner,341.17,QQQ,immediate,
2025-12-31,rebalance_buy,1866.71,,immediate,
2025-03-31,tranche,15000.0,,staggered,
2025-04-04,drawdown_accelerator,20000.0,,staggered,-0.1049
2025-04-21,tranche,15000.0,,staggered,
2025-05-12,tranche,20000.0,,staggered,
2025-06-02,tranche,25000.0,,staggered,
2025-06-23,tranche,5000.0,,staggered,
2025-06-30,sell_winner,5651.73,NVDA,staggered,
2025-06-30,sell_winner,438.59,MSFT,staggered,
2025-06-30,sell_winner,1006.18,SMH,staggered,
2025-06-30,sell_winner,149.73,ITA,staggered,
2025-06-30,rebalance_buy,7246.23,,staggered,
2025-07-31,sell_winner,4423.06,NVDA,staggered,
2025-07-31,sell_winner,1013.51,MSFT,staggered,
2025-07-31,sell_winner,463.67,SMH,staggered,
2025-07-31,sell_winner,472.35,ITA,staggered,
2025-07-31,sell_winner,167.93,QQQ,staggered,
2025-07-31,rebalance_buy,6540.53,,staggered,
2025-09-30,sell_winner,1664.35,NVDA,staggered,
2025-09-30,sell_winner,1382.04,SMH,staggered,
2025-09-30,sell_winner,607.75,ITA,staggered,
2025-09-30,sell_winner,579.45,QQQ,staggered,
2025-09-30,rebalance_buy,4233.59,,staggered,
2025-10-31,sell_winner,2833.83,NVDA,staggered,
2025-10-31,sell_winner,1182.91,SMH,staggered,
2025-10-31,sell_winner,261.15,ITA,staggered,
2025-10-31,sell_winner,414.63,QQQ,staggered,
2025-10-31,rebalance_buy,4692.52,,staggered,
2025-12-31,sell_winner,703.75,XOM,staggered,
2025-12-31,sell_winner,530.81,SMH,staggered,
2025-12-31,sell_winner,500.36,ITA,staggered,
2025-12-31,sell_winner,308.67,QQQ,staggered,
2025-12-31,rebalance_buy,2043.59,,staggered,
