event,event_date,entry_date,ticker,ret_3m,ret_6m,ret_12m,entry_px
post_invasion_ukr,2022-02-24,2022-02-24,SPY,-0.07221572159075607,-0.02052294718157366,-0.07137515217819135,428.29998779296875
post_invasion_ukr,2022-02-24,2022-02-24,VOO,-0.07255498794665294,-0.020417955282683087,-0.07181857319836271,393.7699890136719
post_invasion_ukr,2022-02-24,2022-02-24,VT,-0.07643701375926892,-0.05931511956696267,-0.08051367004424692,98.12000274658203
post_invasion_ukr,2022-02-24,2022-02-24,QQQ,-0.14458569085940742,-0.058474563814355895,-0.13671470271688824,340.489990234375
post_invasion_ukr,2022-02-24,2022-02-24,SMH,-0.14308746450140897,-0.11613438990929381,-0.10301398253235938,133.3800048828125
post_invasion_ukr,2022-02-24,2022-02-24,NVDA,-0.28520292405518655,-0.24570487128086882,-0.010400865294421857,23.74799919128418
post_invasion_ukr,2022-02-24,2022-02-24,MSFT,-0.10886319197151184,-0.053430158627387536,-0.1508197604402719,294.5899963378906
post_invasion_ukr,2022-02-24,2022-02-24,XLE,0.281329117593627,0.24899417273876723,0.26523622246864065,33.55500030517578
post_invasion_ukr,2022-02-24,2022-02-24,XOM,0.27044853792422896,0.3072558357316941,0.45844325331058333,75.80000305175781
post_invasion_ukr,2022-02-24,2022-02-24,ITA,-0.046033090792717446,0.032251917077993575,0.10536895742485264,104.48999786376953
post_invasion_ukr,2022-02-24,2022-02-24,LMT,0.13097980391967834,0.10848860054177556,0.21172070604339988,395.7099914550781
energy_shock_pivot,2021-10-01,2021-10-01,SPY,0.09377303365985501,0.04301774045102813,-0.15574338246993358,434.239990234375
energy_shock_pivot,2021-10-01,2021-10-01,VOO,0.09383146087691085,0.043094839690958286,-0.15569248569622318,399.1199951171875
energy_shock_pivot,2021-10-01,2021-10-01,VT,0.04656598839009085,-0.0069166982359338824,-0.2125669690255505,102.6500015258789
energy_shock_pivot,2021-10-01,2021-10-01,QQQ,0.10458663499847232,0.004636607978493856,-0.24057414531207189,360.17999267578125
energy_shock_pivot,2021-10-01,2021-10-01,SMH,0.20390666420454173,0.034816263922031965,-0.2523685063436206,128.2449951171875
energy_shock_pivot,2021-10-01,2021-10-01,NVDA,0.41794419419166284,0.2878217696685781,-0.3967794940625017,20.742000579833984
energy_shock_pivot,2021-10-01,2021-10-01,MSFT,0.16333448711099452,0.070287121740644,-0.16727775714067505,289.1000061035156
energy_shock_pivot,2021-10-01,2021-10-01,XLE,0.030832092175102188,0.43127781092492734,0.4132614435780839,26.920000076293945
energy_shock_pivot,2021-10-01,2021-10-01,XOM,0.0042671642906773055,0.36418845117782306,0.5086164074930597,60.93000030517578
energy_shock_pivot,2021-10-01,2021-10-01,ITA,-0.032203373514333444,0.05122412992212699,-0.11647830011912486,106.19999694824219
energy_shock_pivot,2021-10-01,2021-10-01,LMT,0.021880437424484755,0.28228874824401085,0.14933871266356702,347.79998779296875
post_chatgpt_launch,2022-11-30,2022-11-30,SPY,-0.008560611992432299,0.04964683358412825,0.12612837115268394,407.67999267578125
post_chatgpt_launch,2022-11-30,2022-11-30,VOO,-0.008571634860171207,0.05012155203267987,0.1264920194196404,374.489990234375
post_chatgpt_launch,2022-11-30,2022-11-30,VT,0.010125447532084886,0.04424385445809054,0.09465109417070927,90.86000061035156
post_chatgpt_launch,2022-11-30,2022-11-30,QQQ,0.02154352208821142,0.20892422827016421,0.32922014559723367,293.3599853515625
post_chatgpt_launch,2022-11-30,2022-11-30,SMH,0.07565982219989364,0.28344971792379425,0.41509689461893995,113.86499786376953
post_chatgpt_launch,2022-11-30,2022-11-30,NVDA,0.4116881708771549,1.3238786789692134,1.7633988336579685,16.92300033569336
post_chatgpt_launch,2022-11-30,2022-11-30,MSFT,0.0005878885978019,0.31457237085065337,0.4678608241025952,255.13999938964844
post_chatgpt_launch,2022-11-30,2022-11-30,XLE,-0.04267689878802694,-0.12342292717138303,-0.06725183521880795,45.57500076293945
post_chatgpt_launch,2022-11-30,2022-11-30,XOM,0.013202813625411203,-0.050116709046102215,-0.07499549801295857,111.33999633789062
post_chatgpt_launch,2022-11-30,2022-11-30,ITA,0.052001427716598325,0.006790583887280155,0.08363117193964276,111.91999816894531
post_chatgpt_launch,2022-11-30,2022-11-30,LMT,-0.015045626983730576,-0.06327420608947676,-0.07374430346721295,485.19000244140625
